name,x^6,x^5,x^4,x^3,x^2,x^1,constant
H2,-3.1585645820294e-13,5.423922735489195e-11,5.313775199230442e-07,0.0010619189371958576,1.4139927579467264,1059.6366359868798,-164322.86158290025
H2,9.73937900669447e-15,-1.8202829220038216e-10,1.2255895953956872e-06,-0.0037472519226871837,11.12297312032618,-7460.885467171556,2672849.3459520913
Li2,-6.380470480121879e-13,3.660970229235092e-11,8.231945411686656e-07,0.0015694646089085685,1.8920481499758965,1222.6676092264458,-194104.13391018612
Li2,-4.021184691772763e-14,6.84799627804335e-10,-4.0501595900053346e-06,0.008976169145346954,2.6668722041555872,-11434.630213849116,7908994.103114779
B2,-7.63518663164117e-13,3.3529218162337336e-11,9.041823047193044e-07,0.0016294304911393931,1.7810354027685982,958.533798099996,-166371.09721609092
B2,-9.763706529571049e-16,8.78648128135498e-12,8.251301698545311e-09,-0.00013494946930217404,5.012745318688114,-606.7519792976448,89716.17209420142
C2,-2.9938328754271805e-13,9.452204658430523e-11,6.057417979785759e-07,0.0011810582892016076,1.5780897301844656,1229.3856158581914,-77047.92118522958
C2,-1.546072060965741e-15,3.982059640562798e-11,-3.803474681649592e-07,0.0017088483225403568,1.808714612021642,1504.7588246250605,-367882.5442875291
N2,-5.856063088693052e-13,9.898639306834593e-11,8.339191721078393e-07,0.0014220420440455282,1.4990106408183839,774.4530989896757,-97266.4383469681
N2,-6.787748492415179e-16,1.3292381728769366e-11,-9.420330191674906e-08,0.00030795162728504194,4.22315298080054,-410.1400940250657,-93836.21720981124
O2,-8.418096042719602e-13,6.592851513044755e-11,1.0061112836596076e-06,0.0016952328917754507,1.6679096590166913,705.7341213218514,-97352.67273904629
O2,9.67310572931569e-16,-1.127400517489194e-12,-1.4373510819236796e-07,0.0012807627262134591,1.303767407030599,3211.190278606416,-1450071.019820504
F2,-7.247112161370273e-13,3.12151455912246e-11,8.735436959762577e-07,0.0016055060162258113,1.8134718801815974,1040.0996352957122,-184478.6378974508
F2,9.355377009014069e-15,-1.0633066354269766e-10,3.895857004733524e-08,0.003078712300363607,-5.980540529815904,12980.369960878903,-5565878.495704046
Na2,-5.259631167317266e-13,9.141200688464227e-11,8.245675122986648e-07,0.0015422865569186912,1.8848412899344118,1262.4980844554989,-189881.90262513177
Na2,2.542104916039318e-15,-2.1124848667324076e-10,3.1737672008014033e-06,-0.018744902560012128,54.56820036284941,-56266.29896085279,22367700.770106073
Mg2,-2.580347145776567e-13,1.4792167104735475e-11,3.958297365838417e-07,0.0008669823975604397,1.252103606897721,1041.1916148688233,-86514.37298999948
Mg2,-1.7184170863155592e-15,3.46164485764769e-11,-2.3372206610935262e-07,0.0006406645516257617,3.1211196438084285,-1020.6178580826427,686008.13271556
Al2,-6.426834265093133e-13,1.3600112090610796e-11,7.851593867305576e-07,0.0015285455557635375,1.8696370256784585,1229.6626433704278,-194763.8653678129
Al2,-4.2812749706308524e-14,9.197299685260668e-10,-7.632921321860001e-06,0.030148760047092237,-52.45801537713353,50969.06605401183,-17314649.18917291
Si2,-6.240679959857909e-13,1.0750319676378824e-11,7.623844676235585e-07,0.0014954091711181746,1.8449219324687345,1225.1390662369192,-206476.67690581156
Si2,-8.077177640358801e-15,1.456860962916314e-10,-9.46589403840029e-07,0.003101955942918765,-0.6732107524453446,4399.049416528569,-1510753.8375810606
P2,-6.730573220148356e-13,1.7516934997196216e-11,8.094053048778676e-07,0.0015378774768561654,1.8160081866555748,1123.7244270592123,-199386.76830308195
P2,-1.193712593425022e-14,2.094044543314133e-10,-1.2273302044782225e-06,0.0035011865716636477,-0.7034517971867441,3975.7723386777384,-1311555.996945236
S2,-6.564991039536748e-13,1.6025418294164635e-11,7.945098514658029e-07,0.0015233991361533418,1.8228174173988798,1152.6624706038888,-203665.78717295802
S2,-3.4444006565652137e-16,1.1721030265915879e-11,-9.730155166463714e-08,0.00040879163129609064,3.7862210771118696,645.4164258828366,-305254.7700369691
Cl2,-6.494397228795077e-13,7.886476027272036e-12,7.781825941440893e-07,0.0015159269874823373,1.8467951713429274,1201.4957779993224,-204791.76203467764
Cl2,2.379028801873643e-13,-4.789330970313723e-09,3.63510795426333e-05,-0.1307021259912089,243.04440451661026,-212293.10623607397,72647231.78024721
K2,-6.675324204494427e-13,7.521784746107982e-11,9.170515425781945e-07,0.0016740302790487647,1.9333044533633323,1177.7985503133034,-169392.0003370939
K2,2.84223441646146e-14,-7.366606344071482e-10,7.366289279602336e-06,-0.035325192220661286,87.41777521303115,-87434.65111060817,33624495.380856834
Cu2,-6.277171035580579e-13,1.3583049202129432e-11,7.725289075742343e-07,0.0015123836869724004,1.8658246982412314,1244.8968313532448,-191540.66321515533
Cu2,3.039513687236324e-15,-6.884443714925904e-11,5.231534946538301e-07,-0.0014149256206748468,6.557209129808583,-1243.1978516351867,233525.1778796155
As2,-6.191159448359808e-13,5.4779833436918374e-12,7.492352594272612e-07,0.0014819259607130035,1.8434769396784152,1239.5815660585822,-202999.63294548524
As2,-5.003235674003492e-16,-4.2145538489685094e-11,7.137620555633995e-07,-0.0032541117031884585,10.96196211839314,-5769.019479886758,1887635.0026151966
Se2,-4.3619957228695463e-13,-1.2510726804570987e-11,5.796080562979582e-07,0.0013104454326655348,1.8995158675673967,1541.0792278681802,-247583.62920941485
